Metric,Mean,Median,Mode,Range,Min,Max,Std Dev,Variance,IQR,Q1,Q3,Coeff of Variation,Entropy
area,2950.75956284153,1813.0,2027.0,19969.0,81.0,20050.0,3336.194335113518,11130192.641643526,2786.5,795.5,3582.0,1.1306222225374476,7.504770876535408
area_convex,3107.0163934426228,1911.0,231.0,20602.0,94.0,20696.0,3504.325914421396,12280300.114485353,2983.5,826.0,3809.5,1.127874935522483,7.471983991289508
equivalent_diameter_area,2950.75956284153,1813.0,2026.9999999999998,19969.0,81.0,20050.0,3336.194335113518,11130192.641643526,2786.5,795.5,3582.0,1.1306222225374476,7.504770876535408
major_axis_length,62.11413950127599,53.30105828832281,11.272689193506075,181.73275518090648,11.272689193506075,193.00544437441255,34.07276794610591,1160.9535155091824,45.34040273218709,35.942638227352205,81.28304095953929,0.5485509132007852,7.515699838284042
minor_axis_length,48.95681093968779,43.25713517819584,7.03816447176154,136.85526223898825,7.03816447176154,143.8934267107498,27.43943074476238,752.9223595966109,32.95762400221063,28.890492119871304,61.84811612208193,0.560482396996126,7.515699838284042
eccentricity,0.525983505904348,0.5139560988545375,0.0410784297601331,0.931349075842943,0.0410784297601331,0.9724275056030761,0.2225097735816743,0.049510599339367974,0.35355470687777646,0.35538584542038176,0.7089405522981582,0.4230356486162107,7.515699838284042
orientation,0.04213373146640208,0.10796550621380618,-1.5677240653241942,3.1297074930290147,-1.5677240653241942,1.5619834277048208,1.0637852458264714,1.1316390492380863,2.0468084635781514,-1.0027303021757317,1.04407816140242,25.247828967504244,7.515699838284042
equivalent_diameter,53.92033228213593,48.04563762304389,50.802131423574885,149.6208462830453,10.155412503859614,159.77625878690492,29.14826802743737,849.6215289993278,35.70820834538677,31.824171973596016,67.53238031898279,0.5405802745227951,7.504770876535408
feret_diameter_max,65.30954732502576,55.47071299343465,31.064449134018133,180.76159182564948,13.601470508735444,194.36306233438492,35.06881090293165,1229.8214981455778,48.64434937913383,37.8021163428716,86.44646572200543,0.5369630067776284,7.325782420239433
solidity,0.9486756373981203,0.9602106495026331,0.6422498364944408,0.3491940137729389,0.6422498364944408,0.9914438502673797,0.038175199813437206,0.001457345880795856,0.038117197854176554,0.9338137472283814,0.971930945082558,0.04024051879116259,7.515699838284042
extent,0.709552266524663,0.7210743801652892,0.716017316017316,0.38873535917343355,0.4519098021168891,0.8406451612903226,0.06253243767606266,0.003910305761710662,0.08577116352133574,0.6678576618034623,0.753628825324798,0.08812943122899478,7.504770876535408
circularity,0.7985876025156999,0.8306092278591116,0.4469246316697913,0.49084877588241477,0.4469246316697913,0.9377734075522061,0.10901922368940155,0.011885191133839772,0.13745083422658488,0.7446268945365336,0.8820777287631185,0.13651504649705387,7.515699838284042
