Metric,Mean,Median,Mode,Range,Min,Max,Std Dev,Variance,IQR,Q1,Q3,Coeff of Variation,Entropy
area,4285.737704918033,2798.0,566.0,37659.0,4.0,37663.0,5862.21569593166,34365572.86562751,3974.25,980.5,4954.75,1.367842854499603,6.914343894939934
area_convex,4898.081967213115,2998.0,1063.0,47294.0,4.0,47298.0,7106.18853199785,50497915.45229776,4234.75,1063.0,5297.75,1.4508104559224215,6.914343894939934
equivalent_diameter_area,4285.737704918033,2798.0,566.0,37659.00000000001,3.9999999999999996,37663.00000000001,5862.21569593166,34365572.86562752,3974.250000000001,980.5,4954.750000000001,1.367842854499603,6.914343894939934
major_axis_length,82.82017628098448,71.32872209727607,2.8284271247461903,279.1693567866603,2.8284271247461903,281.9977839114065,54.273920159159886,2945.6584094428617,54.212212917316954,47.26441315226719,101.47662606958414,0.6553224419014088,6.930737337562886
minor_axis_length,51.98882091401236,47.14337850014421,1.7320508075688772,190.15888759184486,1.7320508075688772,191.89093839941373,35.2060824605124,1239.4682422163985,36.861000858673705,27.41860835163941,64.27960921031311,0.6771856303250653,6.930737337562886
eccentricity,0.7282626995511766,0.764954444113382,0.34677405386388016,0.6307533225018478,0.34677405386388016,0.977527376365728,0.15682795287572848,0.024595006803191717,0.2422974732278289,0.6115616943767481,0.853859167604577,0.2153453046165628,6.930737337562886
orientation,0.05546114425667437,-0.012634188035300151,-1.5295663511391995,3.100362677934096,-1.5295663511391995,1.5707963267948966,0.9283010107174436,0.8617427664990274,1.6721793272468801,-0.8127183642776976,0.8594609629691824,16.737862573142436,6.930737337562886
equivalent_diameter,62.446825442287725,59.68685073517662,26.844991754889815,216.72730723533948,2.256758334191025,218.98406556953051,39.46092645192968,1557.1647164446038,44.08640129644578,35.33283438435749,79.41923568080327,0.6319124498714316,6.914343894939934
feret_diameter_max,86.17870892267304,73.77640993019618,71.7007670809734,296.5496619927988,3.0,299.5496619927988,56.605195531930434,3204.148161208077,54.86622188685721,48.592473248724524,103.45869513558173,0.6568350377901517,6.914343894939934
solidity,0.9158049138177475,0.9282902662742685,1.0,0.23517096999302167,0.7648290300069783,1.0,0.05387343253196384,0.0029023467327760595,0.08288517189910183,0.878341606172388,0.9612267780714898,0.05882631957867512,6.891762849840234
extent,0.6633927805068685,0.672617251513635,0.75,0.43264099966227626,0.4030732860520095,0.8357142857142857,0.08817554008716764,0.007774925869663709,0.11585785568202289,0.6119136460554371,0.72777150173746,0.13291603809706326,6.914343894939934
circularity,0.7306468639560856,0.6936615977531136,0.3344977092671307,2.019129666550172,0.3344977092671307,2.3536273758173025,0.30122046138975556,0.09073376635985721,0.24349526759162055,0.5669548857984232,0.8104501533900438,0.4122654544204818,6.930737337562886
