object_id,area,area_convex,equivalent_diameter_area,major_axis_length,minor_axis_length,eccentricity,orientation,equivalent_diameter,feret_diameter_max,solidity,extent,circularity
0,12540.0,14662.0,12540.000000000002,158.671370035692,108.51874877138722,0.7295556803425574,-0.9055809985088799,126.3583154801414,174.0258601472781,0.8552721320420134,0.6226724266348875,0.5557237255028988
1,1193.0,1304.0,1193.0,51.39521448051854,30.828543774630614,0.8001252506707863,-0.6507334080703291,38.97402695217738,55.90169943749474,0.9148773006134969,0.5705404112864658,0.6779005709397194
2,8085.0,8800.0,8084.999999999999,122.14629638948848,89.38111780126367,0.6815681645298103,-0.16142547761316123,101.4600498678361,131.18307817702708,0.91875,0.7403846153846154,0.6471868842116019
3,5895.0,7897.0,5894.999999999999,129.44579652539164,77.79861691549684,0.7992391864638384,-1.0131015393983265,86.63571501530869,132.51792331605563,0.7464860073445613,0.4716,0.42622535280714974
4,5550.0,6025.0,5550.000000000001,91.14815463764586,79.46844986017808,0.4897547982624979,0.14199788704691488,84.06235467365968,98.2344135219425,0.921161825726141,0.642881964554616,0.760273201732818
5,13719.0,16556.0,13718.999999999998,189.23645079496544,98.0881920471099,0.855176645432383,0.43342545793320003,132.16494737343066,195.0,0.8286421841024402,0.5183044315992292,0.5518895360297157
6,2807.0,3029.0,2807.0,81.1557186862891,46.07228980158521,0.8232339130267092,0.5002415709383626,59.782801892112765,83.86298349093002,0.9267084846483988,0.6607815442561206,0.7332028455461748
7,2180.0,2313.0,2180.0,75.09978848096706,41.103897060577815,0.8369209785124565,-1.3725753384253194,52.68455378498194,75.95393340703298,0.9424989191526156,0.692063492063492,0.6760737331952201
8,2937.0,3854.0,2937.0,111.63108898504439,41.52346314510798,0.9282445830939968,0.3928776560179427,61.15148847646452,120.90492132250036,0.762065386611313,0.4186742694226657,0.36521443495578776
9,178.0,188.0,178.0,25.42246067518988,9.639229937686114,0.9253303250588593,-0.0751767872856883,15.054455784347004,27.018512172212592,0.9468085106382979,0.7325102880658436,0.6255213976031825
10,2960.0,3883.0,2960.0,113.1603511134128,41.52356039771189,0.9302428640958348,0.38640796524580845,61.39046385568431,120.90492132250036,0.7622971928920937,0.4219529579472559,0.37422058634167465
