object_id,area,area_convex,equivalent_diameter_area,major_axis_length,minor_axis_length,eccentricity,orientation,equivalent_diameter,feret_diameter_max,solidity,extent,circularity
0,11854.0,12728.0,11854.0,135.0948299815799,117.65506855939084,0.49144739300967083,1.2624752795311447,122.85349634133584,145.91093173576817,0.9313324952859836,0.6425977123651542,0.7041892256492859
1,14645.0,15343.0,14645.000000000002,179.80081302858613,107.32944005042225,0.8022894295211136,-0.7689482002492766,136.55252884017366,177.6091213873882,0.954506941276152,0.6215516509634157,0.7262656030309503
2,5750.0,5846.0,5750.000000000001,86.20249951999429,85.01359799640095,0.1655104349848978,-0.9567750573258312,85.56358677747905,89.80534505250787,0.9835785152240848,0.7426062249773989,0.8767529745002165
3,3370.0,3600.0,3370.0000000000005,99.2400581543054,48.53370265112127,0.8722537624646332,1.447373819230647,65.50433012982805,108.00462953040486,0.9361111111111111,0.6240740740740741,0.5888852075771265
4,5264.0,5335.0,5264.0,94.9901390435409,72.24560952640748,0.6492687714736544,0.014123544924139572,81.86777732103087,95.35197952848173,0.9866916588566073,0.8030511060259344,0.8398274575757938
5,5597.0,5676.0,5597.0,87.08535748326283,82.9859920563074,0.3031996928713052,0.4052612687645961,84.41754398158422,92.91393867445294,0.9860817477096547,0.8027825588066552,0.8773475303081795
6,7734.0,8850.0,7734.0,137.51736070485413,81.03531752567228,0.807933725258946,0.11483828156695837,99.2332335408947,139.26952286842948,0.8738983050847458,0.6203577444453356,0.5888105845325643
7,7199.0,7435.0,7199.0,99.10504410161575,93.05551899715897,0.3440305532768178,1.3310008754526084,95.73949802745175,107.56393447619885,0.9682582380632145,0.7515398267042489,0.8491868146106153
8,5544.0,5867.0,5544.000000000001,96.72746622218027,74.39689684541668,0.639081151621527,1.361208293827234,84.01690327554178,97.71898484941399,0.9449463098687575,0.7741935483870968,0.8141725000574741
9,8432.0,8552.0,8432.000000000002,104.74575846114749,102.59677887160517,0.2015226678677514,-0.9106968940962136,103.61445768427731,107.56393447619885,0.9859681945743686,0.7648072562358277,0.8865996664514707
10,10204.0,10380.0,10204.000000000002,130.18095546435632,102.00549077252536,0.6213073928293111,-1.523098718000611,113.98305275117701,133.19534526401438,0.9830443159922929,0.815471909214417,0.8455529012837506
11,9142.0,9428.0,9142.0,134.51832374671366,87.27555952631558,0.7609585234086111,-0.40541512419028136,107.8886273801315,133.13526955694348,0.9696648281714043,0.7127153660247915,0.7962178957319511
12,6474.0,6555.0,6474.0,92.74915912906074,88.92253168651843,0.2842770100417294,-0.4990632440396947,90.79070884520863,95.12623192369179,0.9876430205949657,0.7649769585253456,0.8995274530942126
13,9539.0,9661.0,9539.000000000002,115.05060766187444,105.62166871930873,0.3964755246163623,-0.46626020267402957,110.20631568666434,117.90250209389112,0.9873719076700135,0.7609892301555644,0.8858832167262666
14,6635.0,6751.0,6635.0,95.99136479224346,88.17357432108447,0.3952877208215521,-1.0506458700864547,91.91269977167359,98.76234100101111,0.9828173603910532,0.7674956622325043,0.8909903292631413
15,6752.0,6886.0,6752.000000000002,140.25838401915547,66.27856447769263,0.8813059070077812,0.0264775523456155,92.71954166221822,152.0526224699857,0.9805402265466163,0.7050960735171261,0.6134634285529695
16,12129.0,12638.0,12129.0,159.62132987044208,99.77021570095465,0.7805902158871895,0.053861546282312295,124.27036025574557,166.76030702778164,0.9597246399746795,0.7718594883543337,0.731743659419305
17,3211.0,3271.0,3210.9999999999995,74.03865716597969,57.53732148035266,0.6293457745688362,1.1689980096871797,63.94037987175715,84.81155581640984,0.9816569856313054,0.8558102345415778,0.7984319411993865
18,7173.0,7378.0,7173.0,96.17880918376511,95.62770751338095,0.10689764736517125,-0.23458721596576132,95.56645465007752,100.22474744293447,0.9722146923285443,0.746954076850984,0.8672461892706392
19,5158.0,5274.0,5158.0,114.50288677779427,61.673323795591145,0.8425500433309964,1.5489983809539858,81.0393088059367,121.10326172320876,0.9780053090633295,0.7104683195592286,0.598561859333743
20,8538.0,8622.0,8537.999999999998,108.31777926419437,100.40456640903989,0.3751985487044122,-0.05899008065428044,104.26370045681679,110.86027241532469,0.9902574808629089,0.7827282728272827,0.9144469247702519
21,4073.0,4169.0,4073.0000000000005,73.11040367397771,71.32533995177431,0.21962664177094152,1.347059312976634,72.01322563047928,77.78174593052023,0.9769728951786999,0.7148122148122148,0.8842163782850364
22,5759.0,5842.0,5759.0,89.50448058397586,82.05071425016509,0.3995259999300268,-0.3532496720420361,85.63052340217128,91.21951545584969,0.9857925368024649,0.7796128333558955,0.8987539480281206
23,6280.0,6388.0,6279.999999999999,92.16953938443166,86.92843619248542,0.3324063232402081,-0.344796882394614,89.42004440245387,96.79876032264049,0.9830932999373826,0.7761710542578173,0.9063485113330999
24,5162.0,5264.0,5162.0,87.1544390049728,75.4797927209683,0.49996354076134636,-0.8067636771166401,81.07072548042795,90.60353193998566,0.9806231003039514,0.7584484278577726,0.883678308812163
25,3808.0,3888.0,3808.0000000000005,70.89880211897426,68.47300855362627,0.259343575135156,0.27213695131465065,69.63114379608811,74.54528824815154,0.9794238683127572,0.7457892675283979,0.8741845256549186
26,3895.0,3967.0,3894.9999999999995,71.55299631812247,69.40664775115332,0.24309145823112993,-0.04394448898698405,70.42207059397968,74.33034373659252,0.98185026468364,0.7726641539377108,0.8915396309022571
27,8599.0,8794.0,8598.999999999998,126.39600697191037,91.55288389732502,0.6894495856366286,1.3919026639428254,104.63549514948387,134.6291201783626,0.9778257903115761,0.7574876673713883,0.7695259659288456
