Metric,Mean,Median,Mode,Range,Min,Max,Std Dev,Variance,IQR,Q1,Q3,Coeff of Variation,Entropy
area,6734.328358208955,6474.0,760.0,13885.0,760.0,14645.0,2945.2492654212597,8674493.235464469,3548.0,5105.0,8653.0,0.4373486276223945,6.066089190457771
area_convex,6968.164179104478,6555.0,794.0,14549.0,794.0,15343.0,3072.4174331449467,9439748.883492982,3923.0,5245.0,9168.0,0.44092207849497056,6.066089190457771
equivalent_diameter_area,6734.328358208955,6474.0,760.0000000000001,13885.000000000002,760.0000000000001,14645.000000000002,2945.2492654212597,8674493.235464469,3548.0,5105.0,8653.0,0.4373486276223945,6.066089190457771
major_axis_length,105.55599160123332,99.2400581543054,66.03453983978484,113.76627318880129,66.03453983978484,179.80081302858613,23.38047784024966,546.6467440384055,29.749220711837268,90.54347383468289,120.29269454652015,0.22149834874912475,6.066089190457771
minor_axis_length,80.45476082071204,84.32464355724967,15.426548801938857,109.8587827113825,15.426548801938857,125.28533151332137,23.461556587894226,550.444637526963,25.61800819776414,69.47663309376136,95.0946412915255,0.29161178715299035,6.066089190457771
eccentricity,0.5545667664605161,0.5506233952946818,0.10689764736517125,0.8763857038624288,0.10689764736517125,0.9832833512276,0.23743877736052058,0.05637717299445886,0.3779527912993603,0.359614550990615,0.7375673422899753,0.42815183260251444,6.066089190457771
orientation,0.0832771529803369,-0.014372714266387386,-1.5577801760607193,3.1278848507386936,-1.5577801760607193,1.5701046746779743,0.9469623257778987,0.8967376464426873,1.968460627173588,-0.7245843232161109,1.2438763039574772,11.371213975116225,6.066089190457771
equivalent_diameter,90.00141452112166,90.79070884520863,31.10726690017501,105.44526193999866,31.10726690017501,136.55252884017366,21.77518213701772,474.1585571002956,24.341231848112628,80.62178312078608,104.9630149688987,0.24194266560007774,6.066089190457771
feret_diameter_max,110.25667284972747,107.37783756436893,107.56393447619885,106.94795807967014,70.66116330771806,177.6091213873882,23.607558924565403,557.3168383768276,30.462296952401005,93.09402139584051,123.55631834824152,0.214114559367676,6.036238444189115
solidity,0.9663102818704667,0.9774714189643577,0.7732198142414861,0.21703766662142276,0.7732198142414861,0.9902574808629089,0.033127528846257734,0.0010974331674596383,0.02531965992664431,0.9593658660866305,0.9846855260132749,0.034282496489774966,6.066089190457771
extent,0.7374922560429367,0.746954076850984,0.5555555555555556,0.3002546789860222,0.5555555555555556,0.8558102345415778,0.055418971751576694,0.0030712624300020556,0.060565285709840655,0.7102168333068641,0.7707821190167048,0.07514515752196618,6.066089190457771
circularity,0.782141905849708,0.8226106333317362,0.3159521466398461,0.5984947781304057,0.3159521466398461,0.9144469247702519,0.1362680727072419,0.01856898763934616,0.1363438667403959,0.745148615008466,0.8814924817488619,0.17422423180254248,6.066089190457771
