object_id,area,area_convex,equivalent_diameter_area,major_axis_length,minor_axis_length,eccentricity,orientation,equivalent_diameter,feret_diameter_max,solidity,extent,circularity
0,16985.0,17130.0,16985.0,149.41541179547986,145.7081621708216,0.2213769856528224,1.537179272590673,147.05772222949307,155.92626462530293,0.9915353181552832,0.8423845657888211,0.9098864845872622
1,7677.0,8039.0,7676.999999999999,107.73888575687688,92.01238971758015,0.5202214865606427,-1.5385871845569021,98.8668801213624,118.1397477566293,0.9549695235725837,0.6882115643209323,0.805887770573801
2,4655.0,5023.0,4655.0,81.8818142998623,73.52008523116812,0.44023924031374484,0.6792889465085274,76.98655779252753,93.60021367496978,0.9267370097551264,0.7554365465757871,0.7868877773017423
3,12512.0,12686.0,12512.000000000002,128.3546770958475,124.30172101827695,0.24930982875501054,0.22717541531896207,126.21716675526494,132.4009063413087,0.9862840927006149,0.7881574803149606,0.894898719979318
4,1134.0,1159.0,1134.0,56.0698849799829,27.958963727927586,0.8668063430370128,-1.5602401750255366,37.99807421080277,61.0,0.9784296807592753,0.7150063051702396,0.6633479330537109
5,2809.0,2894.0,2809.0,82.16776634853039,45.43802872888699,0.833187279132724,-1.5535794573220936,59.80409585606217,81.30190649671138,0.9706288873531445,0.7538915727321525,0.7337660463436654
6,3312.0,3389.0,3311.9999999999995,65.55385157372787,64.44915245939504,0.1828102250818581,-1.4596439592829091,64.93819655767211,68.06614430096654,0.9772794334611979,0.7378035197148586,0.8827387382579661
7,7298.0,7962.0,7297.999999999998,111.88309072683454,86.61047352848195,0.6330439602619353,-1.1317244908497819,96.39555071411344,127.01574705523721,0.9166038683747803,0.6944523741554858,0.6980497781049474
8,3598.0,3666.0,3597.999999999999,70.49478527809588,65.21665355431828,0.3796569440626983,-0.808714192662597,67.68394109356454,74.24957912338628,0.9814511729405346,0.7668371696504689,0.9080871130561898
9,458.0,480.0,458.00000000000006,52.2556625219284,11.729104540235884,0.9744841913426243,-1.5618266324008216,24.148368712786887,53.009433122794285,0.9541666666666667,0.720125786163522,0.44847280362992537
10,13432.0,13737.0,13432.0,140.12660746794757,123.37759847553978,0.4740975663868685,-1.141357635481924,130.77520240811216,146.82302271782856,0.9777971900706122,0.7834354039078448,0.8475606348873145
