object_id,area,area_convex,equivalent_diameter_area,major_axis_length,minor_axis_length,eccentricity,orientation,equivalent_diameter,feret_diameter_max,solidity,extent,circularity
0,5637.0,6106.0,5637.000000000001,94.54931582326154,77.18025753011844,0.5776333922347804,-1.4873919076616642,84.71865977263872,102.31813133555558,0.9231903046184081,0.683687083080655,0.7610891282494749
1,5210.0,5438.0,5210.0,95.13628747275382,70.37909654026711,0.6728583808568813,-0.8524920049239852,81.44678034195212,97.18538984847466,0.9580728208900331,0.6963378775728415,0.8083498762901855
2,7759.0,8506.0,7758.999999999999,111.48977520231827,91.51478662233089,0.5711643975665585,-0.7129906930959671,99.39348885918095,119.03780911962384,0.912179637902657,0.648203842940685,0.7440852786319824
3,4991.0,5802.0,4990.999999999999,122.56807618045465,57.2783595125923,0.8840889043321338,-0.3772285742805438,79.71661412637391,121.64292005702592,0.8602206135815236,0.5736781609195403,0.5947563146850156
4,2683.0,3121.0,2683.0,102.00033457279704,36.2023150539411,0.9348953492108807,-1.2552703715834126,58.447426791300586,94.42986815621421,0.8596603652675424,0.5096884498480243,0.5278875773437517
5,22951.0,28432.0,22951.0,274.57413974721027,119.64548904069927,0.9000680796655056,-0.26479018913124447,170.94478872202194,279.29196193231195,0.8072242543612831,0.5779215873895198,0.4801654299879308
6,2337.0,2765.0,2337.0,85.27893211501211,37.9971039008156,0.8952507789024392,1.2870438952770495,54.54870132318528,79.76214641043707,0.8452079566003616,0.5478199718706048,0.5748235457058748
7,4274.0,4876.0,4274.0,91.85996810250923,63.07153757483444,0.7270304069101635,-0.67809950870768,73.76873195465735,101.78899744078434,0.876538146021329,0.6364854802680566,0.6457978136986856
8,165.0,179.0,165.0,16.821463682281532,12.775299485376276,0.6505490961278941,-0.03647086053238554,14.494292838262302,17.46424919657298,0.9217877094972067,0.6470588235294118,0.8477319869891591
9,6004.0,6218.0,6003.999999999999,97.32553811555431,79.19414647021428,0.5812799286686947,1.4288140396081046,87.43300421802923,98.3107318658548,0.9655837889996783,0.7737113402061856,0.8400325041587643
10,2493.0,3144.0,2493.0000000000005,83.12278826055211,45.887483999645234,0.8338146025605083,-0.7977916027549375,56.33991644495722,86.6083136886985,0.7929389312977099,0.4770378874856487,0.5075179023576173
11,10527.0,12122.0,10527.0,190.99921167252688,77.93741217878538,0.912959151288459,1.5388915661760316,115.77302227819337,192.7615106809448,0.868421052631579,0.6561331338818249,0.5193843448260458
12,8535.0,9462.0,8535.0,126.89830833784009,92.31873979460022,0.6861058387848178,-1.4052465133021628,104.24538126130392,141.32586458253138,0.9020291693088142,0.6648231811808692,0.630439512875406
