Metric,Mean,Median,Mode,Range,Min,Max,Std Dev,Variance,IQR,Q1,Q3,Coeff of Variation,Entropy
area,3158.4529914529912,1085.0,152.0,34565.0,1.0,34566.0,4668.867846249122,21798326.96573891,3924.5,329.5,4254.0,1.4782134984701134,8.3121230536194
area_convex,3328.105413105413,1131.0,93.0,38035.0,1.0,38036.0,4940.819957758524,24411701.854984943,4080.5,355.0,4435.5,1.4845743582227184,8.329217070713419
equivalent_diameter_area,3158.4529914529912,1085.0000000000002,152.0,34565.0,0.9999999999999999,34566.0,4668.867846249122,21798326.965738915,3924.5,329.5,4254.0,1.4782134984701134,8.3121230536194
major_axis_length,57.897638152881726,43.89575090836627,0.0,233.956256432021,0.0,233.956256432021,42.84948836481672,1836.0786531265637,57.25108922084703,23.122823534132472,80.3739127549795,0.7400904377423897,8.455327220304557
minor_axis_length,46.08589713642344,31.090693348086585,0.0,196.2323201853275,0.0,196.2323201853275,36.74194044012022,1349.9701873053414,47.81640811852622,18.227552570390124,66.04396068891634,0.7972491092308944,8.455327220304557
eccentricity,0.5225715431898933,0.5045500840989348,0.0,0.9951093729470433,0.0,0.9951093729470433,0.2456137747382754,0.06032612634118429,0.42394602223419314,0.30756716235116016,0.7315131845853533,0.4700098540364332,8.455327220304557
orientation,0.16186191650841739,0.2195656418089746,-1.5707963267948966,3.1408194885221024,-1.5707963267948966,1.5700231617272058,0.9372688039488377,0.8784728108556847,1.5793973117657845,-0.5968989854263741,0.9824983263394103,5.790545572219865,8.455327220304557
equivalent_diameter,50.41401721189241,37.1680629847407,13.911592676604096,208.65912785683486,1.1283791670955126,209.78750702393037,38.469391955995825,1479.894117464036,53.11116684095768,20.482343424494033,73.59351026545171,0.7630693621241731,8.3121230536194
feret_diameter_max,60.542182497474975,45.221676218380054,22.47220505424423,265.9082239272518,1.0,266.9082239272518,44.78435486234826,2005.638440436736,59.10212555161758,24.474169538134767,83.57629508975235,0.7397215134128353,8.180314898330254
solidity,0.9312321651312345,0.9462686567164179,0.9726027397260274,0.40950639853747717,0.5904936014625228,1.0,0.05562017409044673,0.0030936037658516016,0.05598683801164284,0.9121163074651446,0.9681031454767874,0.059727505312929585,8.443931208908545
extent,0.6936699840072191,0.7104072398190046,0.625,0.6585879873551106,0.34141201264488935,1.0,0.08622293274905445,0.007434394131847965,0.10292382576485881,0.650426048131284,0.7533498738961428,0.12429964498529766,8.42683719181453
circularity,0.7882746600126052,0.8338973787163644,0.24655001947334373,0.8251644835546837,0.24655001947334373,1.0717145030280275,0.13911170690847224,0.01935206699898868,0.16618397994247358,0.7194149993749299,0.8855989793174035,0.1764761877620774,8.451211111832333
