Metric,Mean,Median,Mode,Range,Min,Max,Std Dev,Variance,IQR,Q1,Q3,Coeff of Variation,Entropy
area,24230.666666666668,17464.5,914.0,96880.0,914.0,97794.0,21210.271764066474,449875628.3055556,17318.5,12562.25,29880.75,0.8753482541710149,4.584962500721156
area_convex,25311.375,17808.0,1158.0,97705.0,1158.0,98863.0,21781.601404267203,474438159.734375,18800.5,12743.5,31544.0,0.8605459562851565,4.584962500721156
equivalent_diameter_area,24230.666666666668,17464.5,914.0,96880.00000000001,914.0,97794.00000000001,21210.271764066478,449875628.30555564,17318.5,12562.25,29880.75,0.8753482541710151,4.584962500721156
major_axis_length,201.27640581822436,195.22546012098866,88.61130849477713,271.7259888486271,88.61130849477713,360.3372973434042,67.81450164820198,4598.806633793989,85.78990577945183,159.55360855499205,245.34351433444388,0.3369222605725891,4.584962500721156
minor_axis_length,136.8687074701836,142.64920000763584,16.19491082252654,329.99819092205314,16.19491082252654,346.1931017445797,75.60287977035733,5715.795429571105,86.44061478813866,87.05297213749735,173.493586925636,0.5523752007874201,4.584962500721156
eccentricity,0.6938555271377368,0.7162829789880523,0.26520813024567563,0.717948780707659,0.26520813024567563,0.9831569109533347,0.21851200474040686,0.04774749621567159,0.37964828121963395,0.4931103044352992,0.8727585856549331,0.3149243555669337,4.584962500721156
orientation,0.03951100919995395,0.012733880609625893,-1.5569437924657612,3.112488576273202,-1.5569437924657612,1.5555447838074408,1.0971065251167695,1.2036427274537929,2.0965996869990677,-0.7819749027108782,1.3146247842881895,27.76710965707371,4.584962500721156
equivalent_diameter,159.82646909676234,149.00985538951554,34.11364747264559,318.7534493752052,34.11364747264559,352.8670968478508,72.84876643676147,5306.942771357823,68.58432450926239,126.46776126575384,195.05208577501622,0.45579913545269696,4.584962500721156
feret_diameter_max,208.79039979807035,197.89557691626248,100.04498987955368,267.7932898032439,100.04498987955368,367.8382796827976,67.13129388614962,4506.610618828589,93.94873828378996,158.93107038718287,252.87980867097284,0.3215248112512597,4.584962500721156
solidity,0.9428700704718258,0.966312784156659,0.787394451145959,0.20684943433994396,0.787394451145959,0.9942438854859029,0.057646477684041304,0.0033231163893766725,0.05187837224420888,0.9292354022637783,0.9811137745079872,0.06113936531593815,4.584962500721156
extent,0.7069309223117344,0.7285677921087287,0.48105263157894734,0.3618960863697706,0.48105263157894734,0.842948717948718,0.09660601419274926,0.009332721978209673,0.1283296999345842,0.6576680837808755,0.7859977837154597,0.13665552198061728,4.584962500721156
circularity,0.6772382396684827,0.6957680989400046,0.26694879880708494,0.6333914649183565,0.26694879880708494,0.9003402637254414,0.1696340683706221,0.028775717151968888,0.20958328462140885,0.584750861882327,0.7943341465037359,0.25047916439813006,4.584962500721156
